,,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
28507,28507,1.096914385,54,2,0.467333095,2800,7,0,1,1,0,0
28508,28508,0.044041027,48,1,0.276830778,10500,4,0,2,0,2,0
28509,28509,0.441122221,24,0,0.131464031,4350,4,0,0,0,1,0
28510,28510,0.381151723,57,0,0.256590053,7700,8,0,1,0,0,0
28511,28511,0.45340572,67,0,0.129623459,6001,22,0,0,0,0,0
28512,28512,0.470389547,35,0,0.383654938,12333,9,0,1,0,1,0
28513,28513,0.323487927,51,0,0.257369419,5800,6,0,2,0,2,0
28514,28514,0,50,0,0.014390305,3960,4,0,0,0,1,0
28515,28515,0.254546346,36,0,0.366472403,5833,11,0,2,0,2,0
28516,28516,0.002323174,58,0,1.911665291,5388,4,0,1,0,0,0
28517,28517,0.186864569,74,0,0.385117106,3372,13,0,1,0,0,0
28518,28518,0.069032664,66,0,0.11776558,12597.5,11,0,3,0,0,0
28519,28519,0.699830017,47,0,0.37724982,4166,4,0,1,0,0,0
28520,28520,0.003860372,78,0,0.358564144,10000,13,0,2,0,0,0
28521,28521,0.096802702,56,0,0.12610369,4416,8,0,0,0,0,0
28522,28522,0.482618368,50,0,0.404907975,4400,12,0,1,0,1,0
28523,28523,0.006382346,61,0,1.911665291,5388,16,0,1,0,4,0
28524,28524,0.178896369,53,0,1.911665291,5388,3,0,1,0,0,0
28525,28525,0.182510242,35,0,0.092581484,5000,5,0,0,1,0,0
28526,28526,0.064075482,24,0,0.006238004,2083,1,0,0,0,0,0
28527,28527,0.003096903,61,0,0.001071483,6532,7,0,0,0,1,0
28528,28528,0.194327,47,0,0.785467128,2600,9,0,1,0,0,0
28529,28529,0.311651272,57,0,0.344136566,8083,13,0,1,0,0,0
28530,28530,0.207871102,55,0,0.288258261,10500,23,0,2,0,0,0
28531,28531,0.816398573,59,0,0.875494071,7083,31,0,2,0,3,0
28532,28532,0,45,0,0.327223148,6600,13,0,2,0,0,0
28533,28533,1.004284949,42,0,0.615486726,2259,7,0,1,0,1,0
28534,28534,0.866453419,51,0,0.326304308,5500,8,0,1,0,0,0
28535,28535,0.003524015,82,0,0.000869397,10351,13,0,0,0,0,0
28536,28536,0.510404737,44,1,1.452868474,5420,8,0,3,0,1,0
28537,28537,0.136206955,39,1,0.317201276,5330,8,0,1,0,4,0
28538,28538,0.018528619,74,0,1.244796003,1200,15,0,1,0,0,0
28539,28539,0.257798065,61,0,0.017825759,3982,3,0,0,0,0,0
28540,28540,6.17E-05,82,0,1.911665291,5388,6,0,1,0,0,0
28541,28541,0.108610611,45,0,0.015866116,4600,4,0,0,0,3,0
28542,28542,0.999945566,68,1,0.277824368,8346,4,0,1,0,0,0
28543,28543,0.107329567,78,0,0.041635838,12597.5,11,0,1,0,0,0
28544,28544,0.146745605,73,0,1.911665291,0,9,0,0,0,1,0
28545,28545,0.006617067,81,0,0.003907638,5629,11,0,0,0,1,0
28546,28546,0.420257415,65,0,0.271120269,9220,9,1,1,0,0,0
28547,28547,0.16034698,76,0,0.134092253,6763,9,0,0,0,1,0
28548,28548,0.721751944,42,0,0.612659933,7424,13,0,2,0,3,0
28549,28549,0.000244893,62,0,0.147404505,8167,4,0,1,0,0,0
28550,28550,0.382336874,70,1,0.927145964,12597.5,29,0,3,0,1,0
28551,28551,0.565203166,49,0,0.309275258,12597.5,10,0,2,0,5,0
28552,28552,0.112668797,51,0,1.911665291,5388,4,0,1,0,0,0
28553,28553,0.521979121,36,0,0.17440174,5515,4,0,0,0,2,0
28554,28554,0.127544192,71,0,1.911665291,5388,17,0,4,0,0,0
28555,28555,0.085263825,66,0,0.006434361,11966,5,0,0,0,1,0
28556,28556,0.005124589,71,0,0.001904308,4200,7,0,0,0,0,0
28557,28557,0.246097528,61,0,0.37921215,8427,9,0,1,0,0,0
28558,28558,0.005249738,68,0,1.911665291,5388,6,0,1,0,0,0
28559,28559,0.051656845,53,1,0.450262238,11439,6,0,2,0,0,0
28560,28560,0.942249667,37,6,0.074714023,12500,7,1,0,0,1,1
28561,28561,0.916770807,30,0,0.382312298,2170,2,0,0,0,0,0
28562,28562,0.804935081,63,0,0.222492401,3289,4,0,0,0,0,0
28563,28563,0.049625599,62,0,1.911665291,5388,9,0,1,0,0,0
28564,28564,0.366118272,80,0,0.606134669,8182,9,0,3,0,1,0
28565,28565,0,46,0,0.269915651,3200,5,0,1,0,1,0
28566,28566,0.60994455,28,0,0.034634088,8430,4,0,0,0,0,0
28567,28567,0.201545413,42,0,0.786035661,6000,12,0,2,0,0,0
28568,28568,0.92338441,45,1,0.388447851,3652,3,4,1,0,3,1
28569,28569,0.016101314,71,0,0.09631728,6000,5,0,0,0,0,0
28570,28570,0.053569898,72,0,1.911665291,5388,5,0,1,0,0,0
28571,28571,0.845125729,58,0,1.581806065,3000,12,0,1,0,0,0
28572,28572,0.159981054,67,0,1.911665291,5388,15,0,1,0,0,0
28573,28573,0.446855314,54,0,0.427430093,1501,6,0,0,0,0,0
28574,28574,0.9999999,32,0,0.003745318,3203,1,2,0,0,1,1
28575,28575,0.062233539,65,1,0.276419012,4333,16,0,1,0,1,0
28576,28576,0.109057398,49,0,0.227149747,8500,6,0,1,0,4,0
28577,28577,0.314524394,47,0,1.911665291,5388,10,0,2,0,0,0
28578,28578,0.342192691,23,0,0.040824828,4800,2,0,0,0,0,0
28579,28579,0.846861255,48,0,0.017255546,3650,1,0,0,0,0,0
28580,28580,0.005031466,55,0,1.911665291,5388,12,0,3,0,0,0
28581,28581,0.085060193,42,2,0.578991833,3550,16,0,1,0,1,0
28582,28582,0.044146513,48,0,0.379412276,5750,7,0,2,0,2,0
28583,28583,0.919513414,52,0,0.611129623,3000,4,0,1,0,1,0
28584,28584,0.475013151,38,1,0.818590705,2000,8,0,1,0,0,0
28585,28585,0.431871892,56,0,0.435534264,4800,12,0,2,0,1,0
28586,28586,0.012478823,56,1,0.002595328,5008,6,0,0,0,0,0
28587,28587,0.068417452,40,0,0.028615756,5800,13,0,0,0,1,0
28588,28588,0.846945678,55,1,0.186572465,12597.5,12,0,4,0,1,0
28589,28589,0,68,0,1.911665291,5388,9,0,2,0,0,0
28590,28590,0.9999999,66,0,0.182583647,4512,2,0,1,0,0,0
28591,28591,0.388589882,67,0,1.911665291,5388,11,0,1,0,0,0
28592,28592,0.270792779,52,1,1.911665291,5388,12,0,1,0,0,0
28593,28593,0.377551871,34,0,0.199520192,2500,3,0,0,0,4,0
28594,28594,0.411456597,63,0,0.664736842,1899,7,0,1,0,1,0
28595,28595,1.097899365,29,2,1.911665291,5388,7,0,0,1,0,1
28596,28596,0.576978581,64,0,0.598770852,12597.5,20,0,4,0,1,0
28597,28597,0,66,0,0,5388,2,0,0,0,0,0
28598,28598,0,82,0,0.151777575,2193,4,0,0,0,0,0
28599,28599,0.1099945,48,0,1.911665291,5388,1,0,0,0,0,0
28600,28600,0,59,0,0.346543857,11833,8,0,1,0,0,0
28601,28601,0.381482185,66,0,0.339522925,7000,11,0,1,0,0,0
28602,28602,0.9999999,38,0,0.008509064,5405,2,0,0,0,0,1
28603,28603,0.906704759,52,3,1.911665291,5388,12,0,1,0,0,0
28604,28604,0.851645158,32,1,0.483198799,5326,7,0,1,0,0,0
28605,28605,0,46,0,1.911665291,5388,10,0,1,0,3,0
28606,28606,0.658581183,53,0,0.321926625,9321,9,0,2,0,0,0
28607,28607,0.456912253,59,0,0.186265461,5416,14,0,1,0,1,0
28608,28608,0.687312687,30,0,0.494235204,1300,9,0,0,0,0,0
28609,28609,1.07831158,45,0,0.347135184,4467,4,0,0,1,0,0
28610,28610,0.029086347,34,1,1.911665291,5388,9,0,2,0,0,0
28611,28611,0.024773394,62,0,0.306361049,12597.5,3,0,1,0,0,0
28612,28612,0.432132283,64,0,0.391128614,9648,21,0,2,0,0,0
28613,28613,0.009317088,57,0,0.004497751,2000,6,0,0,0,0,0
28614,28614,0,77,0,0,3913,4,0,0,0,0,0
28615,28615,0.491694352,56,2,1.911665291,5388,5,3,0,1,0,1
28616,28616,0.046665348,36,0,0.375017603,7100,3,0,1,0,3,0
28617,28617,0.859385067,40,0,0.201777419,4950,6,0,0,0,1,0
28618,28618,0.066088339,78,0,0.068859442,4225,2,0,0,0,2,0
28619,28619,0.376194095,39,0,0.315836833,3333,14,0,0,0,2,0
28620,28620,0.021551595,41,0,0.676718547,3083,7,0,2,0,0,0
28621,28621,0.014495094,54,0,0.149053992,6500,9,0,1,0,3,0
28622,28622,0.054654142,40,0,0.441258638,6800,7,0,1,0,2,0
28623,28623,0.988468672,41,0,0.129146083,2833,3,0,0,0,0,0
28624,28624,0.459445591,44,0,0.322714903,6246,13,0,0,0,5,0
28625,28625,0.20297225,62,0,0.395997023,12090,12,0,3,0,1,0
28626,28626,0.174237856,77,0,0.375329974,4166,13,0,2,0,2,0
28627,28627,0.317346638,54,1,0.291574181,11262,13,0,1,0,1,0
28628,28628,0.08899931,42,0,0.445977326,7320,15,2,1,0,5,0
28629,28629,0.11427381,51,1,0.712973378,5333,18,0,2,0,0,0
28630,28630,0.377201754,50,1,0.376709797,2704,4,0,0,0,2,0
28631,28631,1.209302326,38,0,0.022661631,4500,1,0,0,0,0,0
28632,28632,0,58,0,1.911665291,5388,6,0,1,0,0,0
28633,28633,0.9999999,32,0,0.248560963,1910,2,0,0,0,1,0
28634,28634,0.065551579,41,2,0.354330709,8000,12,0,1,1,3,0
28635,28635,0.771045791,29,2,0.308676529,2500,6,1,2,0,3,0
28636,28636,0.450454651,40,0,0.456613961,7778,18,0,2,0,2,0
28637,28637,0.9999999,37,1,0.593499197,4983,4,0,1,2,3,0
28638,28638,0.501588271,64,1,1.911665291,5388,8,0,0,0,0,0
28639,28639,0.084817595,40,0,0.285982713,7982,11,0,2,0,4,0
28640,28640,0.100220951,76,0,0.137701277,1800,4,0,0,0,0,0
28641,28641,0.10787359,46,0,1.006397441,2500,9,0,1,0,0,0
28642,28642,0,41,0,0,1800,5,0,0,0,0,0
28643,28643,0.021248845,82,0,0.106297901,3000,6,0,0,0,0,0
28644,28644,0.501872659,33,2,0.547411104,6411,8,0,1,0,3,0
28645,28645,0.701648802,45,1,0.176263655,5400,8,0,0,0,0,0
28646,28646,0.884021087,75,0,0.365832001,5630,8,0,1,0,2,0
28647,28647,0.018672273,42,0,1.911665291,5388,7,0,0,0,0,0
28648,28648,0.532195707,44,0,0.518402342,4781,5,0,1,0,2,0
28649,28649,0.505245295,41,0,0.714571357,4000,10,0,1,0,3,0
28650,28650,0.148721282,91,0,0.315949448,6250,5,0,1,0,0,0
28651,28651,0.9999999,69,0,1.911665291,5388,3,0,0,0,0,0
28652,28652,0.039135033,56,0,0.183981602,10000,8,0,2,0,0,0
28653,28653,0.147009496,60,1,0.207172377,7500,11,0,1,0,1,0
28654,28654,0.044085429,67,0,0.010887679,9000,6,0,0,0,0,0
28655,28655,0.05330991,65,0,0.384653465,4039,15,0,2,0,0,0
28656,28656,0.903601483,52,0,0.311493512,12597.5,11,0,2,0,2,0
28657,28657,1.086378738,51,0,0.032098765,3644,1,0,0,0,0,1
28658,28658,0.005041433,79,0,1.911665291,5388,9,0,0,0,0,0
28659,28659,0.177116986,40,0,0.3262539,8333,8,0,2,0,1,0
28660,28660,0.707967283,24,0,0.465534466,1000,3,0,0,0,2,0
28661,28661,0.407573964,41,0,0.240883545,7650,12,0,1,0,0,0
28662,28662,1.021736768,41,3,0.352867308,7166,13,0,1,1,0,1
28663,28663,0.044723207,77,0,0.213816407,5326,10,0,1,0,0,0
28664,28664,0.325084364,70,0,0.497762118,10500,14,0,2,0,0,0
28665,28665,0.9999999,33,0,0.253540683,3600,3,0,1,0,2,0
28666,28666,0.002237409,73,0,0.029217837,12597.5,12,0,2,0,0,0
28667,28667,0.839189002,44,0,0.112097066,5521,5,2,0,0,1,0
28668,28668,0.019419516,77,1,0.068149357,4900,13,0,0,0,0,0
28669,28669,0.011315364,76,0,0.079685194,2032,3,0,0,0,0,0
28670,28670,0.013317995,38,0,0.122376238,5049,6,0,0,0,0,0
28671,28671,0.9999999,36,1,0,7000,0,2,0,0,0,0
28672,28672,0.120647958,35,0,1.911665291,5388,15,0,3,0,0,0
28673,28673,0.057357504,69,0,0.262680087,5066,6,0,1,0,1,0
28674,28674,0.9999999,24,0,1.911665291,5388,1,0,0,0,0,1
28675,28675,0,60,0,0.05701592,2700,1,0,0,0,0,0
28676,28676,0.021092533,60,0,0.150545688,9345,5,0,1,0,1,0
28677,28677,0.001157773,53,0,0,5388,3,0,0,0,0,0
28678,28678,0.012095967,56,1,0.161658827,10416,8,0,1,0,0,0
28679,28679,0.106051889,53,0,0.223107147,9416,4,0,2,0,0,0
28680,28680,0.134371386,59,0,1.911665291,5388,10,0,1,0,1,0
28681,28681,0.052321737,37,0,0.167855476,12597.5,7,0,1,0,2,0
28682,28682,0.254256291,91,2,0.519274036,6666,18,0,0,0,0,0
28683,28683,0.473414784,37,0,0.207782935,2800,4,0,0,0,0,0
28684,28684,0.033009177,54,0,0.004115226,1700,4,0,0,0,1,0
28685,28685,0.004734409,77,0,1.911665291,600,7,0,2,0,0,0
28686,28686,0.23429742,47,0,0.473873248,8630,8,0,2,0,0,0
28687,28687,1.002307337,31,0,0.244521338,2600,5,0,0,0,3,0
28688,28688,0.049365021,64,0,1.911665291,5388,9,0,2,0,0,0
28689,28689,0.000843361,64,0,0.269485253,8916,9,0,2,0,0,0
28690,28690,0.04423823,41,0,0.519230769,2183,4,0,2,0,0,0
28691,28691,0.723410145,49,0,1.424131627,1640,13,0,3,1,2,1
28692,28692,0.9999999,36,3,0.188384929,4166,11,6,0,2,1,0
28693,28693,0.898210179,39,0,0.463832785,4257,6,0,0,0,2,0
28694,28694,0.072013225,44,0,0.009554494,9000,7,0,0,0,2,0
28695,28695,0.9999999,58,0,0.027981346,1500,0,0,0,0,0,0
28696,28696,0.468728719,84,1,0.429058996,2050,11,0,1,0,0,0
28697,28697,0.037547632,41,0,0.26997128,9400,5,0,1,0,3,0
28698,28698,0.398361167,67,1,0.361202155,12597.5,21,0,1,0,0,0
28699,28699,0.060217528,61,0,1.911665291,5388,5,0,1,0,0,0
28700,28700,0.213196899,61,0,0.203867849,12597.5,13,0,2,0,0,0
28701,28701,0.898168147,34,0,0.367862969,2451,6,0,0,0,1,0
28702,28702,0.063592646,79,0,0.100079428,3776,8,0,0,0,0,0
28703,28703,0.141123925,65,0,0.327226053,12597.5,10,0,2,0,1,0
28704,28704,0.614755052,36,0,0.34717797,8787,12,0,1,0,2,1
28705,28705,0.04209579,36,0,0.132135613,3450,6,0,0,0,2,0
28706,28706,0.780183181,56,0,1.911665291,5388,1,0,0,1,0,0
28707,28707,0.727784233,43,0,0.419970785,9583,17,0,2,0,2,0
28708,28708,0.02212609,51,0,0.002755664,3265,2,0,0,0,0,0
28709,28709,0.306894079,56,1,0.671465707,5000,14,0,1,0,1,0
28710,28710,0.06554156,88,0,1.911665291,5388,7,0,1,0,0,0
28711,28711,0.013841136,34,0,0.610807933,7512,10,0,3,0,0,0
28712,28712,0,32,0,0.15137648,12597.5,3,0,2,0,0,0
28713,28713,0.063106707,39,0,0.21044088,12597.5,9,0,2,0,4,0
28714,28714,0.359614193,52,2,0.750296209,3375,12,0,2,1,2,1
28715,28715,0.9999999,39,0,0.222277772,10000,5,0,1,0,1,0
28716,28716,0.100392345,57,0,0.949025487,2000,13,0,2,0,0,0
28717,28717,0,71,0,1.911665291,5388,8,0,1,0,0,0
28718,28718,0.01418299,44,0,0.371841155,3600,12,0,1,0,4,0
28719,28719,0.001932338,60,0,0.002113886,7568,10,0,0,0,0,0
28720,28720,0.731121134,54,0,0.718881857,7583,18,0,2,0,0,0
28721,28721,0.054857177,91,0,0.013623297,8000,5,0,0,0,1,0
28722,28722,0.052537921,58,0,1.911665291,5388,6,0,1,0,0,0
28723,28723,0.092276926,61,0,0.590670374,3236,3,0,1,0,0,0
28724,28724,0.205739713,71,0,0.357312832,5462,4,0,1,0,0,0
28725,28725,0.418595159,61,0,0.165460472,12597.5,10,0,1,0,0,0
28726,28726,0.655562958,31,0,0.135338346,6250,6,0,0,0,2,0
28727,28727,0.811925983,60,1,0.538932016,4250,8,0,2,0,0,0
28728,28728,0.04480739,89,0,0.009462656,2958,3,0,0,0,1,0
28729,28729,0.111897905,72,0,0.224577542,10000,15,0,1,0,0,0
28730,28730,0.00226409,66,0,1.911665291,5388,4,0,0,0,0,0
28731,28731,0.110235591,52,0,1.911665291,5388,6,0,0,0,0,0
28732,28732,0.034865504,50,0,0.189601891,5500,5,0,1,0,1,0
28733,28733,0.042302269,51,0,1.911665291,5388,9,0,1,0,0,0
28734,28734,0.712664367,45,0,0.25831667,5500,3,0,2,0,0,0
28735,28735,0.183575985,64,1,0.442542118,7300,21,0,2,0,0,0
28736,28736,0.342739696,32,0,1.911665291,5388,2,0,0,0,0,0
28737,28737,0.090181964,30,0,0.003713225,3500,2,0,0,0,0,0
28738,28738,0.3069545,52,0,0.525570745,12597.5,30,0,4,0,1,0
28739,28739,0.102460642,66,0,0.686345092,4166,18,0,2,0,2,0
28740,28740,0.15758538,54,0,0.258228121,9266,12,0,1,0,0,0
28741,28741,0.246063405,62,1,1.911665291,5388,17,0,1,0,3,0
28742,28742,0.313015935,54,3,0.278201615,12597.5,17,0,1,0,0,0
28743,28743,0.068860714,48,0,0.457614404,12597.5,12,0,2,0,0,0
28744,28744,0.360691595,40,0,0.236038394,2291,4,0,0,0,2,0
28745,28745,0.758201608,46,0,0.292906178,7865,6,0,2,0,1,0
28746,28746,0.243740098,47,0,1.911665291,5388,22,0,4,0,0,0
28747,28747,0.495823478,33,1,0.13905553,6500,7,0,0,0,0,0
28748,28748,0.9999999,59,0,0.280892978,12597.5,6,0,3,0,0,0
28749,28749,0,58,0,0.280474502,7333,8,0,2,0,2,0
28750,28750,0.139603364,74,0,1.158590308,1588,12,0,1,0,0,0
28751,28751,0.9999999,40,0,0.206724216,2200,1,0,0,0,2,0
28752,28752,0.011947794,37,0,0.301730921,5083,11,0,1,0,1,0
28753,28753,0.934410132,46,0,1.325593761,5641,10,0,3,0,4,1
28754,28754,0.752026103,37,0,0.631099024,6250,9,0,2,0,1,0
28755,28755,0.153436796,65,0,0.169474493,12597.5,5,0,2,0,1,0
28756,28756,0.094831577,64,0,1.017676768,4355,10,0,3,0,0,0
28757,28757,0.271545486,63,0,0.412264623,6000,9,0,1,0,0,0
28758,28758,0.780217515,43,1,0.888237593,2558,7,1,1,0,0,1
28759,28759,0.056212632,36,0,0.21248835,8583,13,0,2,0,0,0
28760,28760,0.67945529,44,0,0.295021577,9500,9,0,1,0,3,0
28761,28761,0.9999999,26,0,0.205897051,2000,3,3,0,0,0,1
28762,28762,0,50,1,0.705786777,8000,11,0,2,0,2,0
28763,28763,0.146221344,68,0,0.303680289,4428,4,0,1,0,1,0
28764,28764,0.789916851,37,4,0.306215503,4166,8,1,0,0,0,0
28765,28765,0.229442639,49,0,0.005666289,12597.5,2,0,0,0,2,0
28766,28766,0.04826324,58,0,0.148212947,4000,12,0,1,0,0,0
28767,28767,0.57972053,58,0,1.911665291,5388,6,0,1,0,0,0
28768,28768,0.014166605,53,0,0.216936572,2963,19,0,1,0,2,0
28769,28769,0.262779267,65,0,0.424840633,9725,15,0,2,0,1,0
28770,28770,0.009999524,81,0,1.911665291,5388,5,0,0,0,0,0
28771,28771,0.079120824,26,0,0.146719234,3550,8,0,0,0,0,0
28772,28772,0,70,0,0,3848,4,0,0,0,0,0
28773,28773,0.040366523,48,0,0.006876927,8433,8,0,0,0,0,0
28774,28774,0.011778225,58,0,1.911665291,5388,7,0,1,0,0,0
28775,28775,0,60,0,1.911665291,5388,8,0,1,0,0,0
28776,28776,0.038352489,51,0,0.121029059,9600,10,0,2,0,0,0
28777,28777,0.418485054,53,0,0.195338513,1801,7,0,0,0,1,0
28778,28778,0.103964388,51,0,0.347301329,7373,3,0,1,0,0,0
28779,28779,0.9999999,46,0,1.911665291,5388,5,0,0,0,0,0
28780,28780,0.637792505,37,0,0.459908018,5000,9,0,1,0,2,0
28781,28781,0.012869006,33,0,0.080113101,4243,3,0,0,0,0,0
28782,28782,0.0419985,65,0,0.044558698,1166,1,0,0,0,0,0
28783,28783,0.176308202,33,0,0.249449246,5900,11,0,1,0,0,0
28784,28784,0.289893874,41,0,0.468839885,7300,6,0,1,0,3,1
28785,28785,0.080094886,52,0,0.027192749,3750,11,0,0,0,0,0
28786,28786,0,63,0,0.029291056,12597.5,9,0,1,0,1,0
28787,28787,0.097952263,56,0,0.492285439,4147,11,0,2,0,0,0
28788,28788,0.090293336,83,0,0.376846036,5890,19,0,2,0,1,0
28789,28789,0.00286209,78,0,0.204290868,5266,8,0,1,0,0,0
28790,28790,0.480311703,42,0,0.099417209,2916,6,1,0,0,1,0
28791,28791,0.014060033,67,0,1.911665291,5388,11,0,1,0,1,0
28792,28792,0.096709892,58,0,0.398003264,10416,11,0,3,0,1,0
28793,28793,0.363245076,50,0,1.567186563,3333,20,0,2,0,2,0
28794,28794,0.187116258,47,0,0.408397901,4000,8,0,1,0,2,0
28795,28795,0.04419779,31,0,0.772384388,3048,7,0,1,0,0,0
28796,28796,0.111346499,64,0,0.406067804,9261,10,0,3,0,0,0
28797,28797,0.047716904,41,0,0.647319844,5633,5,0,2,0,1,0
28798,28798,0.113006052,58,0,0.031221855,3330,5,0,0,0,0,0
28799,28799,0.144257395,31,0,0.337832255,7260,13,0,2,0,2,1
28800,28800,0.989274677,30,0,0.141220088,8900,3,0,0,0,1,0
28801,28801,0,55,0,1.911665291,5388,4,0,2,0,0,0
28802,28802,0.714323808,28,0,0.300531084,3200,7,0,0,0,0,0
28803,28803,0.695320851,38,0,0.618575064,7859,8,0,2,0,3,1
28804,28804,0.055949753,53,0,0.052868391,2666,7,0,0,0,0,0
28805,28805,0.583236127,29,2,0.323709051,1800,13,0,0,1,3,0
28806,28806,0.078289235,45,0,0.024411135,2334,8,0,0,0,0,0
28807,28807,0.957569542,54,0,0.371125775,5000,11,2,1,1,2,1
28808,28808,0.035869811,54,0,0.022099448,3800,4,0,0,0,1,0
28809,28809,0.058728655,73,0,0.142522681,6833,6,0,1,0,0,0
28810,28810,0.003071735,61,0,0.000970685,5150,9,0,0,0,1,0
28811,28811,0.326949085,55,0,0.389145047,12597.5,13,0,3,0,0,0
28812,28812,0.043611965,61,0,1.911665291,5388,12,0,1,0,0,0
28813,28813,0.498797136,43,0,0.269735472,4800,6,0,0,0,0,0
28814,28814,0.476731073,46,0,1.404537589,5200,11,0,3,0,1,0
28815,28815,0.074012204,57,0,1.911665291,5388,5,0,1,0,0,0
28816,28816,0.966033966,30,0,0.14985015,1000,2,0,0,0,0,0
28817,28817,0.036308983,67,0,0.009022371,8090,6,0,0,0,1,0
28818,28818,0.11559422,57,0,0.214382326,8871,4,0,1,0,0,0
28819,28819,0,62,0,0.132716821,4000,5,0,0,0,2,0
28820,28820,0,91,0,1.911665291,5388,3,0,1,0,0,0
28821,28821,0.045198356,46,1,1.911665291,5388,3,0,1,0,0,0
28822,28822,0.119978951,48,1,0.402742074,3500,9,0,1,0,0,0
28823,28823,0.015717656,64,0,0.115733991,12597.5,4,0,1,0,0,0
28824,28824,0,57,0,1.911665291,5388,7,0,1,0,1,0
28825,28825,0,70,0,1.911665291,5388,5,0,1,0,0,0
28826,28826,0.001742014,50,0,0.000272702,11000,15,0,0,0,2,0
28827,28827,0.110900392,37,0,0.843696867,8233,9,0,3,0,2,0
28828,28828,0.018076792,72,0,0.121454994,4865,17,0,2,0,0,0
28829,28829,0.011889543,51,0,0.079124958,12597.5,15,0,1,0,3,0
28830,28830,0.4188547,42,0,0.384020533,12597.5,13,0,4,0,2,0
28831,28831,0,52,0,0.10565921,9700,6,0,1,0,3,0
28832,28832,0.046485935,43,0,0.385974499,5489,7,0,2,0,3,0
28833,28833,0,53,0,0.170863309,1667,8,0,0,0,0,0
28834,28834,0.080621124,29,1,0.203330535,7145,10,0,1,0,2,0
28835,28835,0.010893165,75,0,0.10384147,9032,10,0,0,0,0,0
28836,28836,0.9999999,62,0,1.911665291,5388,5,0,0,0,0,0
28837,28837,0.580032531,71,0,0.151531931,5417,10,0,0,0,0,0
28838,28838,0.483279904,42,0,0.567429071,8000,8,0,2,0,3,0
28839,28839,0.062436646,44,0,0.262070279,10500,11,0,2,0,2,0
28840,28840,0.9999999,66,0,0,5388,1,0,0,0,0,0
28841,28841,0.929836129,53,0,0.539492794,8950,22,0,1,0,0,0
28842,28842,0.006906477,62,0,1.911665291,5388,13,0,2,0,1,0
28843,28843,0.037466922,59,0,1.911665291,5388,17,0,0,0,2,0
28844,28844,0,31,0,0.568311972,3666,4,0,2,0,0,0
28845,28845,0.428043614,35,1,0.892162114,5600,13,0,2,0,3,0
28846,28846,0.454698325,60,0,0.468066492,8000,10,0,2,1,0,0
28847,28847,0.238631689,82,0,0.100515735,9500,4,0,0,0,1,0
28848,28848,0.064015491,48,0,0.205347594,5609,4,0,1,0,1,0
28849,28849,0.006594416,81,0,0.27192442,4868,3,0,1,0,0,0
28850,28850,1.644518272,40,0,0.002153515,6500,1,0,0,0,5,0
28851,28851,0.24685021,61,0,0.256522066,12597.5,6,0,1,0,0,0
28852,28852,0.152408871,73,0,0.231501762,10500,17,0,2,0,0,0
28853,28853,0.018584913,65,0,0.456108778,5000,9,0,1,0,0,0
28854,28854,0,43,0,0.212568747,12597.5,6,0,1,0,3,0
28855,28855,0.136954431,68,0,0.533068305,8300,13,0,3,0,2,0
28856,28856,0.017419694,40,0,0.295800195,7166,5,0,2,0,0,0
28857,28857,0.056895637,59,0,0.438012655,4266,10,0,2,0,0,0
28858,28858,0.032069022,66,0,1.911665291,5388,5,0,1,0,0,0
28859,28859,0.112919299,61,0,0.814296426,4000,25,0,2,0,1,0
28860,28860,0.369800947,72,0,0.7264085,7152,15,0,3,0,0,0
28861,28861,0.9999999,58,98,0,5388,0,98,0,98,0,1
28862,28862,0.9999999,40,0,0.800266607,4500,6,0,2,0,1,0
28863,28863,0.16496945,29,0,0.115109969,3500,5,1,0,1,1,0
28864,28864,0.098768577,51,0,0.024821002,4189,4,0,0,0,2,0
28865,28865,0.016771438,48,0,0.025989604,2500,8,0,0,0,0,0
28866,28866,0.040177546,73,0,0.261609907,2583,5,0,1,0,0,0
28867,28867,0.00373325,63,0,1.911665291,5388,5,0,0,0,0,0
28868,28868,0.542208256,31,1,0.442047974,4960,6,0,1,0,0,0
28869,28869,0.034807029,47,0,1.911665291,5388,3,0,1,0,0,0
28870,28870,0.9999999,97,0,0,5388,1,0,0,0,0,0
28871,28871,0.487633147,45,0,0.386555951,12597.5,18,0,3,0,0,0
28872,28872,0.121995643,49,0,0.204289786,6666,4,0,1,0,0,0
28873,28873,0.237207109,64,0,0.335313335,10100,23,0,2,0,1,0
28874,28874,0,61,0,0,5388,2,0,0,0,0,0
28875,28875,0.001834478,82,0,0.151131024,9150,12,0,2,0,0,0
28876,28876,0.038512162,44,1,0.090272763,12597.5,10,0,2,0,1,0
28877,28877,0.428935503,45,0,0.119470132,4000,3,0,0,0,0,0
28878,28878,0,71,0,0,5388,2,0,0,0,0,0
28879,28879,0.379924015,53,0,1.911665291,5388,6,1,1,0,0,0
28880,28880,1.10442124,31,1,0.609365559,3309,7,0,1,0,0,1
28881,28881,0.533710245,66,0,0.560355605,7198,16,1,1,0,0,1
28882,28882,0.045590367,51,0,0.11019089,9900,8,0,1,0,1,0
